City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,richards bay,-28.783,32.0377,298.71,35,0,5.71,ZA,1717081666
1,olonkinbyen,70.9221,-8.7187,272.6,86,100,2.39,SJ,1717081666
2,mejit,10.2753,170.8646,300.83,79,100,5.66,MH,1717081666
3,ola,59.5833,151.2833,284.34,64,5,0.8,RU,1717081667
4,edinburgh of the seven seas,-37.0676,-12.3116,285.32,61,15,5.92,SH,1717081667
5,maizuru,35.45,135.3333,290.99,81,100,2.45,JP,1717081668
6,san angelo,31.4638,-100.437,302.56,62,0,6.69,US,1717081642
7,mineiros,-17.5694,-52.5511,297.39,42,0,2.2,BR,1717081668
8,coahuayana de hidalgo,18.7,-103.6583,304.27,47,13,0.86,MX,1717081669
9,port alfred,-33.5906,26.891,292.69,77,96,3.58,ZA,1717081486
10,grytviken,-54.2811,-36.5092,274.79,97,100,11.44,GS,1717081670
11,constantia,44.1833,28.65,295.76,79,42,5.11,RO,1717081457
12,luderitz,-26.6481,15.1594,288.98,88,64,4.21,NA,1717081470
13,sitka,57.0531,-135.33,281.09,81,75,0.0,US,1717081671
14,port mathurin,-19.6833,63.4167,297.95,80,35,10.76,MU,1717081671
15,bethel,41.3712,-73.414,290.79,69,75,4.63,US,1717081537
16,tiksi,71.6872,128.8694,276.2,87,45,1.45,RU,1717081672
17,hithadhoo,-0.6,73.0833,302.35,78,82,8.71,MV,1717081673
18,adamstown,-25.066,-130.1015,295.1,81,44,7.35,PN,1717081673
19,shingu,33.7333,135.9833,290.5,97,100,3.1,JP,1717081673
20,ust-nera,64.5667,143.2,285.83,44,93,2.23,RU,1717081674
21,hammerfest,70.6634,23.6821,296.4,53,0,1.03,NO,1717081674
22,lusambo,-4.9667,23.45,307.67,32,92,0.66,CD,1717081481
23,taungdwingyi,20.0167,95.55,303.68,69,90,4.55,MM,1717081675
24,eyl,7.9803,49.8164,302.82,63,47,10.87,SO,1717081675
25,anadyr,64.75,177.4833,271.43,86,20,1.0,RU,1717081676
26,hawaiian paradise park,19.5933,-154.9731,294.28,93,100,1.54,US,1717081676
27,alghero,40.5589,8.3181,299.2,41,20,6.17,IT,1717081386
28,waitangi,-43.9535,-176.5597,282.49,84,84,5.36,NZ,1717081677
29,bredasdorp,-34.5322,20.0403,286.73,77,61,5.26,ZA,1717081480
30,chu,43.5983,73.7614,291.7,31,1,1.55,KZ,1717081678
31,wang noi,14.2269,100.7155,303.71,68,100,3.94,TH,1717081454
32,kodiak,57.79,-152.4072,278.88,100,100,4.63,US,1717081679
33,sola,-13.8833,167.55,299.53,83,81,11.91,VU,1717081679
34,inhambane,-23.865,35.3833,298.14,73,20,2.57,MZ,1717081680
35,arkhangel'sk,64.5401,40.5433,292.21,39,40,2.0,RU,1717081680
36,kununurra,-15.7667,128.7333,295.14,94,100,6.17,AU,1717081681
37,cuito,-12.3833,16.9333,297.78,26,63,0.95,AO,1717081591
38,luganville,-15.5333,167.1667,297.73,86,100,5.98,VU,1717081681
39,menongue,-14.6585,17.691,299.71,18,0,0.86,AO,1717081682
40,blackmans bay,-43.0167,147.3167,289.11,68,100,1.34,AU,1717081682
41,vanino,49.0869,140.2543,281.44,72,62,2.41,RU,1717081537
42,palmer,42.1584,-72.3287,286.93,76,100,4.12,US,1717081683
43,vilyuchinsk,52.9306,158.4028,278.11,92,100,1.92,RU,1717081683
44,asmar,35.0333,71.3581,292.93,38,17,4.43,AF,1717081684
45,susuman,62.7833,148.1667,279.25,41,5,2.68,RU,1717081684
46,nasir,15.5894,32.5634,316.61,7,17,5.74,SD,1717081685
47,port-aux-francais,-49.35,70.2167,275.76,77,21,17.88,TF,1717081685
48,reyes,-14.3167,-67.3833,298.39,45,6,0.82,BO,1717081388
49,bahia de caraquez,-0.6,-80.4167,299.25,80,96,1.87,EC,1717081460
50,sarangani,5.4033,125.4636,303.09,77,79,9.33,PH,1717081686
51,port maria,18.3685,-76.8895,306.47,65,100,4.86,JM,1717081687
52,lebu,-37.6167,-73.65,284.69,79,100,1.06,CL,1717081687
53,marly,50.3456,3.5496,292.6,79,100,5.0,FR,1717081427
54,hilo,19.7297,-155.09,294.4,91,100,1.54,US,1717081688
55,timbiqui,2.7717,-77.6654,301.16,77,59,1.11,CO,1717081688
56,wakkanai,45.4094,141.6739,280.47,78,100,2.61,JP,1717081689
57,severo-yeniseyskiy,60.3725,93.0408,272.36,86,70,2.24,RU,1717081689
58,ilulissat,69.2167,-51.1,274.16,64,75,4.12,GL,1717081690
59,jamestown,42.097,-79.2353,286.92,66,75,5.66,US,1717081065
60,port lincoln,-34.7333,135.8667,287.92,62,1,10.44,AU,1717081690
61,la ronge,55.1001,-105.2842,284.77,59,100,3.71,CA,1717081691
62,al jawf,29.5,38.75,306.84,9,0,4.03,SA,1717081691
63,dhidhdhoo,6.8833,73.1,301.79,84,100,11.49,MV,1717081692
64,pisco,-13.7,-76.2167,290.18,88,100,2.06,PE,1717081692
65,afaahiti,-17.75,-149.2833,296.08,72,43,6.77,PF,1717081692
66,oriximina,-1.7656,-55.8661,302.62,74,76,0.33,BR,1717081494
67,papatowai,-46.5619,169.4708,284.2,73,100,3.96,NZ,1717081693
68,yoloten,37.2989,62.3597,301.95,9,0,4.29,TM,1717081694
69,dudinka,69.4058,86.1778,271.3,92,87,2.68,RU,1717081695
70,margaret river,-33.95,115.0667,289.08,76,39,4.95,AU,1717081695
71,stanley,54.868,-1.6985,285.92,78,75,8.23,GB,1717081695
72,ghadamis,30.1337,9.5007,312.16,6,0,4.27,LY,1717081696
73,thompson,55.7435,-97.8558,293.09,57,75,5.15,CA,1717081696
74,badger,64.8,-147.5333,284.08,88,75,1.54,US,1717081697
75,louisville,38.2542,-85.7594,295.91,53,0,3.09,US,1717081697
76,kingston,17.997,-76.7936,306.02,66,20,9.77,JM,1717081485
77,acarau,-2.8856,-40.12,302.04,75,65,4.58,BR,1717081698
78,albany,42.6001,-73.9662,290.88,63,79,0.89,US,1717081159
79,longyearbyen,78.2186,15.6401,277.06,87,100,3.09,SJ,1717081699
80,altai,46.3722,96.2583,283.97,19,100,2.07,MN,1717081700
81,ushuaia,-54.8,-68.3,275.94,90,40,1.1,AR,1717081700
82,isafjordur,66.0755,-23.124,280.17,65,75,5.14,IS,1717081701
83,vallenar,-28.5708,-70.7581,298.23,17,40,0.75,CL,1717081701
84,anloga,5.7947,0.8973,302.73,73,67,6.86,GH,1717081701
85,monchegorsk,67.9397,32.8739,289.52,56,13,2.87,RU,1717081702
86,forres,57.6113,-3.6108,289.09,72,40,7.2,GB,1717081702
87,maun,-19.9833,23.4167,299.24,18,0,1.84,BW,1717081703
88,tofol,5.3248,163.0078,300.94,81,100,4.67,FM,1717081703
89,ribeira grande,38.5167,-28.7,292.37,77,75,5.66,PT,1717081703
90,puerto natales,-51.7236,-72.4875,274.4,80,0,1.03,CL,1717081704
91,antsiranana,-12.2787,49.2917,298.71,77,1,6.01,MG,1717081704
92,ha tien,10.3833,104.4833,302.57,73,98,3.94,VN,1717081705
93,udachny,66.4167,112.4,287.84,45,89,5.42,RU,1717081706
94,grootfontein,-19.5667,18.1167,296.56,14,0,1.37,NA,1717081706
95,byron bay,-28.65,153.6167,290.21,87,82,2.96,AU,1717081707
96,la'ie,21.6477,-157.9253,296.54,83,57,1.79,US,1717081707
97,belel,7.05,14.4333,296.1,59,100,1.08,CM,1717081708
98,hargeysa,9.56,44.065,303.94,19,100,4.97,SO,1717081708
99,valdivia,-39.8142,-73.2459,281.62,82,100,0.99,CL,1717081709
100,chonchi,-42.6128,-73.8092,282.66,82,37,1.06,CL,1717081709
101,meulaboh,4.1363,96.1285,299.74,85,98,0.73,ID,1717081710
102,hasaki,35.7333,140.8333,293.37,87,100,2.75,JP,1717081710
103,aasiaat,68.7098,-52.8699,272.15,76,68,1.95,GL,1717081711
104,howrah,22.5892,88.3103,304.15,89,75,6.17,IN,1717081469
105,barcelos,41.5388,-8.6151,306.44,45,79,5.87,PT,1717081711
106,lospalos,-8.5186,127.0025,295.72,97,85,0.94,TL,1717081712
107,tsiombe,-25.3,45.4833,295.17,78,0,4.29,MG,1717081712
108,hamilton,39.1834,-84.5333,294.5,70,75,2.06,US,1717081514
109,greymouth,-42.4667,171.2,281.99,92,88,1.08,NZ,1717081713
110,chui,-33.6971,-53.4616,288.15,74,38,2.2,UY,1717081713
111,port elizabeth,-33.918,25.5701,292.65,73,94,14.4,ZA,1717081714
112,urangan,-25.3,152.9,292.7,89,0,2.24,AU,1717081714
113,georgetown,5.4112,100.3354,304.12,74,20,1.54,MY,1717081275
114,praia da vitoria,38.7333,-27.0667,294.68,75,1,5.05,PT,1717081715
115,alvorada,-12.48,-49.1247,307.21,27,0,2.24,BR,1717081592
116,albertina,-22.2008,-46.6158,294.0,25,54,1.97,BR,1717081716
117,westport,41.1415,-73.3579,291.93,62,100,6.17,US,1717081565
118,lewistown,40.5992,-77.5714,292.52,76,20,3.09,US,1717081717
119,wynyard,-41.0,145.7167,286.86,87,100,7.01,AU,1717081717
120,hermanus,-34.4187,19.2345,284.71,75,47,5.94,ZA,1717081483
121,rouyn-noranda,48.2398,-79.0288,284.71,30,5,2.08,CA,1717081718
122,ladson,32.9857,-80.1098,301.07,48,40,4.63,US,1717081453
123,fort st. john,56.2499,-120.8529,281.09,61,75,7.2,CA,1717081654
124,utrik,11.2278,169.8474,300.52,80,99,5.05,MH,1717081720
125,fort bragg,35.139,-79.006,297.97,49,0,4.63,US,1717081720
126,saipan,15.1355,145.701,300.54,83,40,5.66,MP,1717081720
127,egilsstadir,65.2653,-14.3948,287.95,45,44,7.83,IS,1717081721
128,punta arenas,-53.15,-70.9167,277.21,87,20,4.63,CL,1717081721
129,mariental,-24.6333,17.9667,299.65,16,4,6.61,NA,1717081722
130,serenje,-13.2325,30.2352,293.98,40,3,3.71,ZM,1717081722
131,sur,22.5667,59.5289,308.06,44,0,0.79,OM,1717081722
132,college,64.8569,-147.8028,284.12,89,75,1.54,US,1717081723
133,gadzhiyevo,69.2551,33.3362,289.47,63,59,2.74,RU,1717081723
134,holualoa,19.6228,-155.9522,295.06,84,0,2.57,US,1717081724
135,castanos,26.7833,-101.4167,300.32,70,62,2.37,MX,1717081724
136,attapeu,14.8,106.8333,297.54,99,100,0.54,LA,1717081725
137,toshbuloq,40.9234,71.5721,299.6,31,0,1.03,UZ,1717081725
138,cao lanh,10.45,105.6333,300.12,83,100,2.7,VN,1717081725
139,morant bay,17.8815,-76.4093,304.94,70,100,4.68,JM,1717081726
140,port douglas,-16.4833,145.4667,296.7,87,86,5.37,AU,1717081726
141,whitehorse,60.7161,-135.0538,279.87,55,20,0.89,CA,1717081727
142,enewetak,11.3474,162.3373,300.75,76,99,6.74,MH,1717081727
143,ji'an,27.1172,114.9793,296.09,96,100,4.36,CN,1717081728
144,qaqortoq,60.7167,-46.0333,277.7,64,94,2.76,GL,1717081728
145,hantsavichy,52.758,26.43,288.72,89,100,2.73,BY,1717081728
146,baoding,38.8511,115.4903,298.75,28,58,3.08,CN,1717081729
147,uturoa,-16.7333,-151.4333,299.98,80,17,6.19,PF,1717081729
148,new norfolk,-42.7826,147.0587,289.77,67,100,4.24,AU,1717081730
149,bardai,11.65,7.2333,304.67,46,100,3.11,NG,1717081730
150,portland,45.5234,-122.6762,286.18,78,20,1.54,US,1717081697
151,bilibino,68.0546,166.4372,269.68,85,89,3.6,RU,1717081731
152,vorgashor,67.5833,63.95,270.82,87,98,4.77,RU,1717081731
153,iqaluit,63.7506,-68.5145,274.65,69,97,1.79,CA,1717081732
154,quellon,-43.1167,-73.6167,282.66,84,30,3.19,CL,1717081732
155,talavera de la reina,39.9635,-4.8308,308.43,17,13,3.92,ES,1717081733
156,west island,-12.1568,96.8225,300.14,83,75,6.69,CC,1717081733
157,goz beida,13.95,20.55,314.25,14,36,1.89,TD,1717081733
158,san antonio de pale,-1.4014,5.6325,300.17,79,77,7.44,GQ,1717081734
159,mhamid,29.82,-5.72,313.63,6,1,6.77,MA,1717081734
160,dalmatovo,56.26,62.9362,282.74,50,2,1.86,RU,1717081735
161,kanel,15.4916,-13.1763,315.05,10,75,4.41,SN,1717081735
162,doue-la-fontaine,47.1937,-0.2749,291.17,60,44,8.68,FR,1717081736
163,puerto ayora,-0.7393,-90.3518,298.13,84,80,3.97,EC,1717081480
164,padangsidempuan,1.3667,99.2667,296.78,98,100,0.77,ID,1717081736
165,topeka,39.0483,-95.678,296.41,75,0,5.14,US,1717081448
166,sisimiut,66.9395,-53.6735,272.51,78,82,1.54,GL,1717081737
167,steenwijk,52.7875,6.1208,292.56,66,92,3.13,NL,1717081738
168,baruun-urt,46.6806,113.2792,283.36,68,92,2.12,MN,1717081738
169,dakhla,23.6848,-15.958,293.29,76,6,4.99,EH,1717081738
170,east london,-33.0153,27.9116,301.81,27,85,5.28,ZA,1717081739
171,greenland,43.0362,-70.8328,286.99,79,100,2.57,US,1717081739
172,namibe,-15.1961,12.1522,296.55,62,0,7.23,AO,1717081740
173,ebon,4.582,168.6964,301.91,70,100,3.08,MH,1717081740
174,touros,-5.1989,-35.4608,299.93,83,91,4.45,BR,1717081741
175,vila velha,-20.3297,-40.2925,297.12,60,75,6.69,BR,1717081583
176,nuku'alofa,-21.1333,-175.2,296.8,67,84,10.19,TO,1717081741
177,sabratah,32.7933,12.4885,297.95,47,58,5.31,LY,1717081742
178,stettler,52.3168,-112.7186,281.34,89,100,7.73,CA,1717081743
179,wailua homesteads,22.0669,-159.378,295.59,87,75,4.63,US,1717081743
180,nadi,-17.8,177.4167,296.15,83,75,2.57,FJ,1717081610
181,xiongzhou,25.1167,114.3,297.91,93,95,0.98,CN,1717081744
182,olinda,-8.0089,-34.8553,298.0,100,75,3.6,BR,1717081662
183,kourou,5.1552,-52.6478,301.18,69,55,3.04,GF,1717081606
184,ta`u,-14.2336,-169.5144,301.38,80,44,8.44,AS,1717081746
185,kas,36.2018,29.6377,297.16,58,5,6.43,TR,1717081746
186,nizhneangarsk,55.7833,109.55,279.26,90,100,2.24,RU,1717081747
187,veinticinco de mayo,-35.4323,-60.1727,288.14,80,38,2.68,AR,1717081669
188,lebanon,36.2081,-86.2911,296.57,63,0,4.12,US,1717081707
189,vadso,70.0744,29.7487,297.64,52,0,2.57,NO,1717081748
190,antofagasta,-23.65,-70.4,287.75,66,31,2.62,CL,1717081494
191,usinsk,65.9939,57.5281,273.19,64,100,7.6,RU,1717081674
192,zhalantun,48.0,122.7167,285.1,61,100,3.28,CN,1717081750
193,arno,60.1167,18.6333,288.59,60,21,4.83,SE,1717081751
194,bodo,67.28,14.405,288.17,72,0,2.57,NO,1717081751
195,lihue,21.9789,-159.3672,295.92,83,75,4.63,US,1717081752
196,moree,-29.4667,149.85,290.42,71,99,7.53,AU,1717081752
197,hobyo,5.3505,48.5268,300.87,72,89,12.04,SO,1717081752
198,pangody,65.85,74.4859,271.04,95,100,6.71,RU,1717081753
199,kiama,-34.6833,150.8667,292.36,68,100,3.58,AU,1717081753
200,yellowknife,62.456,-114.3525,286.16,69,75,7.2,CA,1717081589
201,mount gambier,-37.8333,140.7667,284.92,78,52,7.14,AU,1717081754
202,bamboo flat,11.7,92.7167,301.79,82,100,4.27,IN,1717081755
203,caribou,46.8606,-68.012,288.72,44,0,5.14,US,1717081742
204,gotsucho,35.0,132.2167,291.93,67,100,2.59,JP,1717081755
205,mitsamiouli,-11.3847,43.2844,300.36,73,39,5.18,KM,1717081756
206,fale old settlement,-9.3852,-171.2468,301.61,79,13,5.04,TK,1717081756
207,boda,4.3189,17.4695,298.31,81,87,3.11,CF,1717081757
208,geraldton,-28.7667,114.6,287.38,82,75,3.6,AU,1717081757
209,dolores,-36.3132,-57.6792,287.49,72,100,2.54,AR,1717081758
210,solnechnyy,50.7214,136.6319,278.17,71,96,1.94,RU,1717081758
211,colonia,50.9333,6.95,292.56,66,0,5.66,DE,1717081644
212,rio preto da eva,-2.6994,-59.6997,301.54,63,99,1.0,BR,1717081494
213,axim,4.8699,-2.2405,302.69,70,44,4.64,GH,1717081759
214,pak chong,14.708,101.4161,302.07,85,100,2.18,TH,1717081760
215,presidente epitacio,-21.7633,-52.1156,295.42,33,93,3.0,BR,1717081544
216,pacific grove,36.6177,-121.9166,288.65,89,20,4.02,US,1717081761
217,genhe,50.7833,121.5167,278.33,70,25,0.54,CN,1717081761
218,juneau,58.3019,-134.4197,281.15,95,75,2.57,US,1717081761
219,tegucigalpa,14.0818,-87.2068,297.57,69,75,6.17,HN,1717081560
220,happy valley-goose bay,53.3168,-60.3315,278.32,87,100,5.66,CA,1717081762
221,chibougamau,49.9168,-74.3659,285.7,38,95,4.37,CA,1717081763
222,vilyuysk,63.7553,121.6247,289.82,48,28,0.45,RU,1717081763
223,kailua-kona,19.6406,-155.9956,297.13,83,0,2.57,US,1717081763
224,polyarnyy,69.1989,33.4478,287.21,72,60,2.73,RU,1717081764
225,gambiran satu,-8.3939,114.1464,296.79,99,100,0.46,ID,1717081764
226,mtskheta,41.8451,44.7188,299.2,53,64,2.36,GE,1717081765
227,manismata,-2.4667,111.0333,297.77,99,100,1.29,ID,1717081765
228,pangai,-19.8,-174.35,297.5,69,100,8.93,TO,1717081765
229,pagar alam,-4.0167,103.2667,295.16,97,100,0.77,ID,1717081766
230,bhachau,23.2833,70.35,303.79,65,7,8.68,IN,1717081627
231,iquique,-20.2208,-70.1431,292.73,65,18,2.23,CL,1717081767
232,hassi messaoud,31.6804,6.0729,310.3,12,0,5.64,DZ,1717081767
233,chiredzi,-21.05,31.6667,298.09,34,0,1.97,ZW,1717081492
234,borshchiv,48.8033,26.0435,290.39,66,100,2.51,UA,1717081768
235,el jadid,33.2549,-8.506,295.36,72,68,4.35,MA,1717081581
236,floro,61.5996,5.0328,293.19,63,75,5.14,NO,1717081769
237,visakhapatnam,17.69,83.2093,305.09,89,75,3.09,IN,1717081723
238,smolensk,55.0,33.0,295.21,59,100,0.74,RU,1717081770
239,talnakh,69.4865,88.3972,271.91,92,100,2.32,RU,1717081770
240,prado,-17.3411,-39.2208,301.02,60,27,3.86,BR,1717081533
241,kiomboi,-4.2667,34.3667,298.16,45,96,1.81,TZ,1717081748
242,nar'yan-mar,67.6713,53.087,270.99,87,90,5.81,RU,1717081772
243,minas de marcona,-15.2119,-75.1103,289.82,59,7,3.23,PE,1717081772
244,tolanaro,-25.0319,46.9987,295.03,80,2,6.35,MG,1717081773
245,tanout,14.9709,8.8879,314.02,16,33,3.88,NE,1717081687
